UI_20150317_000001	{@st41b}Apprendre les Attributs{nl}de chaque Maître de classe.{/}
UI_20150317_000002	{@st43}Liste des Attributs {/}
UI_20150317_000003	{@st59}Fermer{/}
UI_20150317_000004	{@st43}Apprendre les Attributs{/}
UI_20150317_000005	{@st59}Fermer{/}
UI_20150317_000006	{@st41b}Argent{/}
UI_20150317_000007	Mes Hauts-Faits
UI_20150317_000008	Classement Serveur
UI_20150317_000009	{@st59}Un évènement inattendu est disponible.{/}
UI_20150317_000010	{@st59}Il y a un nouveau message d'Aide{/}
UI_20150317_000011	{@st41}Êtes-vous sure de vouloir créer ce type de flèche?{/}
UI_20150317_000012	{@st41b}Une fois{/}
UI_20150317_000013	{@st41b}Tout{/}
UI_20150317_000014	{@st41b}Pause{/}
UI_20150317_000015	{@st43}Journal d'Aventure{/}
UI_20150317_000016	{@st43}Hôtel des Ventes{/}
UI_20150317_000017	{@st59}Fermer{/}
UI_20150317_000018	{@st41b}Objets Vendus : ×%s, Objets Invendus : ×%s{/}
UI_20150317_000019	{@st43}{s22}Vente aux Enchères{/}
UI_20150317_000020	{@st59}Fermer{/}
UI_20150317_000021	Availest
UI_20150317_000022	{@st41b}Temps Restant
UI_20150317_000023	3 heures 16 minutes
UI_20150317_000024	{@st41b}Prix Initial
UI_20150317_000025	{@st41b}Enchères
UI_20150317_000026	{@st41b}Prix Actuel
UI_20150317_000027	{@st41b}Montant de l'Enchère
UI_20150317_000028	{@st41b}Montant de l'Enchère Minimum de {@st57}%s{@st41b}silver{/}
UI_20150317_000029	{@st41b}Enchère{/}
UI_20150317_000030	{@st43b}Acheter Maintenant!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}Paramètres de Permission{/}
UI_20150317_000032	{@st45}Nom : %s{/}
UI_20150317_000033	{@st45}Storage de Groupe{/}
UI_20150317_000034	{@st49}Aucun
UI_20150317_000035	{@st49}Boutique
UI_20150317_000036	{@st49}Récupérer
UI_20150317_000037	{@st45}Sondage
UI_20150317_000038	{@st49}Créer
UI_20150317_000039	{@st49}Supprimer
UI_20150317_000040	{@st44}Sauvegarder
UI_20150317_000041	{@st44}Annuler{/}
UI_20150317_000042	{@st43}{s22}Coiffeur{/}
UI_20150317_000043	{@st59}Coiffure Précédente{/}
UI_20150317_000044	{@st59}Coiffure Suivante{/}
UI_20150317_000045	{@st41b} Changer {s18} (100 iCoins requis) {/}
